,Player,Total,2020/21
12,Nikola Jokic,7.758570279,29542010
29,Jimmy Butler,7.531482809,34379100
24,Nikola Vucevic,7.457717755,26000000
17,Kawhi Leonard,7.4122746,34379100
2,Damian Lillard,7.225156515,31626953
4,Giannis Antetokounmpo,7.203199683,27528088
64,Rudy Gobert,7.198837649,27525281
10,Jayson Tatum,7.165183214,9897120
20,James Harden,7.158720259,41254920
9,Kyrie Irving,7.135471418,33722850
50,Chris Paul,7.115129622,41358814
76,Mikal Bridges,7.10881895,4359000
39,Bam Adebayo,7.095483776,5115492
0,Stephen Curry,7.091901235,43006362
3,Joel Embiid,7.073220582,29542010
43,Jrue Holiday,7.061309658,27026011
35,Fred VanVleet,7.043663761,21250000
36,Tobias Harris,7.010788288,34358850
32,Terry Rozier,6.979521543,18900000
27,Russell Westbrook,6.972408165,41358814
5,Luka Doncic,6.8911078,8049360
55,Dejounte Murray,6.869723122,14286000
16,LeBron James,6.856547897,39219566
87,Jarrett Allen,6.854727166,3909902
123,Delon Wright,6.853570277,9000000
56,Clint Capela,6.851339075,18000000
8,Kevin Durant,6.849646603,40108950
1,Bradley Beal,6.807739766,28751774
34,Domantas Sabonis,6.80109659,19800000
94,Kyle Anderson,6.793612896,9505100
22,Julius Randle,6.780529746,19845000
84,Tyrese Haliburton,6.756584555,3831840
7,Zion Williamson,6.748333979,10245480
53,Harrison Barnes,6.734838729,22215909
33,Khris Middleton,6.720261233,33051724
31,Malcolm Brogdon,6.713240457,20700000
23,Brandon Ingram,6.705121148,27285000
28,DeMar DeRozan,6.683893256,27739975
47,Jonas Valanciunas,6.650126415,15000000
149,Robert Covington,6.644963148,12138345
61,Lonzo Ball,6.637502286,11003782
41,Andrew Wiggins,6.62560995,29542010
14,Trae Young,6.624055419,6571800
15,De'Aaron Fox,6.586069371,8099627
63,Deandre Ayton,6.585809891,10018200
25,Paul George,6.563426191,35450412
6,Zach LaVine,6.538937925,19500000
37,Anthony Edwards,6.534879524,9757440
175,Draymond Green,6.518491197,22246956
52,Mike Conley,6.516617553,34502132
30,Pascal Siakam,6.515462826,30559200
18,Karl-Anthony Towns,6.513399987,29467800
96,Brook Lopez,6.505665143,12697675
155,Nicolas Batum,6.503879878,11608231
19,Jaylen Brown,6.493097371,25035118
11,Donovan Mitchell,6.48322519,5195501
65,Ben Simmons,6.468241457,30559200
40,Norman Powell,6.45768252,10865952
134,Danny Green,6.448084831,15365853
71,Chris Boucher,6.440866015,6500000
38,Ja Morant,6.418003055,9166800
49,Buddy Hield,6.415098735,24931817
110,Enes Kanter,6.412287847,5005350
89,Miles Bridges,6.406478694,3934320
26,Jerami Grant,6.392779335,19050000
118,Justin Holiday,6.355740326,5720400
122,Brandon Clarke,6.355103296,2602920
60,Derrick Rose,6.35332215,7682926
44,John Collins,6.336157785,4137302
66,Richaun Holmes,6.325670713,5005350
67,Joe Harris,6.322813917,16071429
106,Bobby Portis,6.317807262,3623000
74,Kelly Olynyk,6.305114693,12819650
42,Jordan Clarkson,6.298843262,11500000
101,Joe Ingles,6.297128731,10363637
51,Bogdan Bogdanovic,6.28630041,18000000
148,Ricky Rubio,6.283147555,17000000
103,Kevin Huerter,6.270284809,2761920
13,Devin Booker,6.262339076,29467800
21,Collin Sexton,6.251312801,4991880
193,Tyus Jones,6.244410515,8817143
48,Bojan Bogdanovic,6.241168663,17850000
119,Donte DiVincenzo,6.23413467,3044160
178,Royce O'Neale,6.231479427,8500000
54,LaMelo Ball,6.228165107,7839960
45,Darius Garland,6.212278121,6720720
100,Thaddeus Young,6.206841032,13545000
62,Kendrick Nunn,6.20147993,1663861
130,Kentavious Caldwell-Pope,6.189946686,12073020
136,Patrick Williams,6.174678013,7068360
83,Marcus Smart,6.166101447,12946428
57,Tyler Herro,6.16086803,3822240
97,Saddiq Bey,6.158965477,2689920
212,Nerlens Noel,6.155419203,5000000
129,Dorian Finney-Smith,6.152706651,4000000
198,Drew Eubanks,6.136579789,1620564
91,Will Barton,6.133361054,13723214
93,Seth Curry,6.130646455,7834449
98,Eric Bledsoe,6.123651925,16875000
147,Jakob Poeltl,6.11361494,8101852
79,Carmelo Anthony,6.112666882,2564753
115,Reggie Bullock,6.106411009,4200000
99,Josh Richardson,6.102798633,10865952
92,Jalen Brunson,6.082515331,1663861
112,Jeff Green,6.080148207,2564753
88,Keldon Johnson,6.074545397,2048040
156,Robert Williams,6.061057081,2029920
86,Kyle Kuzma,6.042424869,3562178
124,Monte Morris,6.020761007,1723707
82,Duncan Robinson,6.018252788,1663861
182,Pat Connaughton,6.00644884,4938273
58,Coby White,5.99878147,5572680
141,Ivica Zubac,5.987788973,7000000
75,Montrezl Harrell,5.981432524,9258000
172,Khem Birch,5.974977744,3011499
69,Rui Hachimura,5.97487717,4692840
70,Darius Bazley,5.966524315,2399160
72,Lauri Markkanen,5.966111641,6731508
127,Jae Crowder,5.965800818,9258000
139,De'Anthony Melton,5.952563919,9571712
108,Rudy Gay,5.951239769,14500000
117,Grayson Allen,5.940257262,2545320
114,Dwayne Bacon,5.920662092,1678854
78,Marcus Morris,5.902750325,14883721
174,Maxi Kleber,5.889706293,8475000
95,Aaron Gordon,5.882352398,18136364
150,Cameron Payne,5.876695342,1977011
131,Daniel Theis,5.869458786,5000000
73,Doug McDermott,5.861607433,7333333
116,Reggie Jackson,5.856718041,2331593
133,Cameron Johnson,5.853616713,4235160
161,Tomas Satoransky,5.839770117,10000000
137,Desmond Bane,5.833162834,1936440
195,Facundo Campazzo,5.82574172,3200000
165,Steven Adams,5.807401484,29592695
46,Dillon Brooks,5.800491939,11400000
143,Paul Millsap,5.799361214,10100000
90,Alec Burks,5.797213683,6000000
81,Danilo Gallinari,5.791184022,19500000
152,Cory Joseph,5.784771099,12600000
168,Jaxson Hayes,5.781079535,5105160
109,Naz Reid,5.774384025,1517981
59,Andre Drummond,5.760944653,28751774
207,Jarred Vanderbilt,5.74290444,1663861
140,Robin Lopez,5.7285449,7300000
199,Juan Toscano-Anderson,5.721537127,943963
121,Mason Plumlee,5.713236529,8000000
209,Tony Snell,5.712300097,12178571
196,Dean Wade,5.702523893,1517981
160,Payton Pritchard,5.694959498,2035800
190,Damion Lee,5.691912859,1762796
234,Matisse Thybulle,5.689609898,2711280
151,Luke Kennard,5.685670276,5273826
214,Jordan McLaughlin,5.680668229,503760
176,Terance Mann,5.678617345,1517981
153,Sterling Brown,5.671474341,1678854
85,Shake Milton,5.671170953,1701593
158,Kenrich Williams,5.6672052,2000000
120,Cedi Osman,5.664018827,8840580
228,Andre Iguodala,5.659743326,15000000
164,Garrett Temple,5.657848611,4767000
126,Theo Maledon,5.648671829,2000000
132,Isaac Okoro,5.648209193,6400920
128,Bryn Forbes,5.64689103,2337145
135,Landry Shamet,5.628308132,2090040
111,Lonnie Walker,5.628019035,2895720
107,Immanuel Quickley,5.612335944,2105520
138,Furkan Korkmaz,5.598963526,1762796
142,Talen Horton-Tucker,5.595104067,1517981
189,Denzel Valentine,5.592635591,4642800
173,Kent Bazemore,5.585715579,2320044
203,Devin Vassell,5.577887016,4033440
105,Davis Bertans,5.575532676,15000000
68,Luguentz Dort,5.568315839,1517981
184,Jeff Teague,5.565462186,3372826
191,Alex Caruso,5.564852953,2750000
205,Derrick Favors,5.558276477,9258000
77,Goran Dragic,5.557706511,18000000
169,DeAndre Jordan,5.552523506,10375678
206,Rajon Rondo,5.544469134,7500000
145,Isaiah Roby,5.542178453,1517981
180,Georges Niang,5.539666503,1783557
80,Josh Jackson,5.522286688,4767000
181,Derrick Jones,5.519884964,9258000
186,Trey Burke,5.518026125,3000000
113,Blake Griffin,5.506520668,33900241
226,Solomon Hill,5.506358439,2174318
125,Elfrid Payton,5.505517313,4767000
213,Marc Gasol,5.503806128,2564753
146,Terence Davis,5.497467267,1517981
171,Aaron Holiday,5.496977472,2345640
187,Alex Len,5.488377086,3970648
183,Jaden McDaniels,5.478820879,1964760
177,Daniel Gafford,5.468539677,1517981
